processo_id,classe_id,comarca_id,vara_id,data_distribuicao,data_baixa,situacao
8000001,1,4,3,2021-09-30,2022-05-27,Baixado
8000002,5,4,1,2023-09-25,2024-05-03,Baixado
8000003,5,1,5,2019-04-19,2023-01-08,Baixado
8000004,3,5,2,2024-01-14,2024-02-26,Baixado
8000005,1,5,4,2022-10-25,2024-02-07,Baixado
8000006,3,8,1,2020-01-15,2022-02-18,Baixado
8000007,6,6,3,2019-06-27,2022-07-29,Baixado
8000008,3,1,1,11/03/2025,2028-10-18,Baixado
8000009,3,3,5,2021-02-26,2021-06-29,Baixado
8000010,2,4,1,2021-08-11,,Em andamento
8000011,4,2,3,2020-10-28,2022-01-30,Baixado
8000012,1,4,5,2020-12-01,2022-05-16,Baixado
8000013,3,1,3,2025-03-31,2027-02-23,Baixado
8000014,1,6,2,2019-05-12,,Em andamento
8000015,1,2,2,2022-07-12,2025-05-29,Baixado
8000016,4,2,2,2021-12-20,2025-03-13,Baixado
8000017,6,3,4,2023-06-24,2024-05-02,Baixado
8000018,1,3,1,2020-03-25,2021-03-17,Baixado
8000019,3,6,5,2019-09-18,2023-02-19,Baixado
8000020,5,8,3,2025-03-16,,Em andamento
8000021,1,1,5,2021-12-28,,Em andamento
8000022,2,1,4,2020-10-09,2022-05-01,Baixado
8000023,1,8,5,2020-03-11,,Em andamento
8000024,5,1,5,25/03/2021,2022-03-20,Baixado
8000025,5,3,1,2022-08-20,2023-05-06,Baixado
8000026,2,7,2,2019-08-26,2022-11-29,Baixado
8000027,1,8,4,2019-10-11,,Em andamento
8000028,1,3,2,2024-04-30,,Em andamento
8000029,5,1,5,2023-09-30,,Em andamento
8000030,2,7,3,2023-06-23,,Em andamento
8000031,4,4,5,2024-01-24,2025-05-28,Baixado
8000032,1,1,5,2025-03-18,2026-07-12,Baixado
8000033,1,1,2,2019-10-04,,Em andamento
8000034,1,6,5,2021-09-01,2024-06-21,Baixado
8000035,1,1,5,2024-04-20,2027-01-13,Baixado
8000036,2,6,1,2020-02-02,2022-02-26,Baixado
8000037,4,2,1,2020-02-08,2022-02-01,Baixado
8000038,1,6,2,2021-02-23,2023-09-29,Baixado
8000039,1,1,3,2024-03-09,2024-09-09,Baixado
8000040,5,2,1,2019-07-27,2022-09-06,Baixado
8000041,1,6,2,2020-11-12,2023-08-24,Baixado
8000042,3,1,1,2020-11-05,12/02/2023,Baixado
8000043,4,1,3,2023-09-29,2026-12-10,Baixado
8000044,4,4,2,2021-02-16,2021-07-15,Baixado
8000045,5,3,1,2022-07-08,2025-11-15,Baixado
8000046,5,2,2,2019-08-21,,Em andamento
8000047,1,1,1,2019-10-06,2021-02-28,Baixado
8000048,6,2,2,2019-06-12,2021-11-16,Baixado
8000049,6,4,5,2022-07-19,,Em andamento
8000050,3,1,2,2021-12-23,2025-09-04,Baixado
8000051,3,1,1,2019-02-08,2022-05-06,Baixado
8000052,1,8,5,2021-05-23,2022-03-20,Baixado
8000053,1,8,2,2023-02-22,2025-09-06,Baixado
8000054,2,6,5,2024-12-06,2028-02-14,Baixado
8000055,1,1,2,2021-12-19,2022-08-25,Baixado
8000056,1,99,3,2022-02-28,2024-03-01,Baixado
8000057,2,1,5,2024-06-24,2024-11-05,Baixado
8000058,3,1,3,2019-06-30,2020-04-22,Baixado
8000059,2,4,2,2023-12-15,2026-06-07,Baixado
8000060,1,3,1,2020-09-02,2022-10-28,Baixado
8000061,1,3,4,2020-06-06,2022-07-22,Baixado
8000062,1,7,3,2021-05-10,2025-03-05,Baixado
8000063,5,1,4,2020-09-25,,Em andamento
8000064,1,1,2,2023-08-16,2025-07-26,Baixado
8000065,3,6,2,2021-12-28,2022-09-05,Baixado
8000066,1,2,4,2021-06-30,2024-02-27,Baixado
8000067,2,1,2,2019-04-07,2021-07-31,Baixado
8000068,1,1,3,2022-12-09,2025-04-05,Baixado
,5,4,3,2019-04-24,2020-11-08,Baixado
8000070,2,1,1,2020-03-20,2022-03-27,Baixado
8000071,3,5,4,2024-09-25,2028-01-18,Baixado
8000072,1,1,4,2019-01-07,2022-02-12,Baixado
8000073,2,4,3,2023-11-02,2027-08-23,Baixado
8000074,6,7,3,2020-05-25,2022-03-01,Baixado
8000075,3,3,3,2023-07-07,2026-09-14,Baixado
8000076,3,1,4,2020-12-13,2022-09-20,Baixado
8000077,1,2,3,2022-03-21,2025-07-20,Baixado
8000078,3,3,4,2023-12-15,2025-03-26,Baixado
8000079,1,3,1,2022-03-08,2025-10-24,Baixado
8000080,1,3,2,2022-06-25,2023-09-05,Baixado
8000081,1,1,2,2024-04-30,2024-10-26,Baixado
8000082,6,2,2,2023-04-22,2024-10-02,Baixado
8000083,1,1,1,2023-10-08,2026-10-02,Baixado
8000084,5,2,2,2020-05-12,2023-01-18,Baixado
8000085,5,4,5,2022-07-23,,Em andamento
8000086,6,7,5,2023-10-14,,Em andamento
8000087,1,3,4,2024-01-18,2025-07-07,Baixado
8000088,2,6,5,2024-06-07,2026-01-20,Baixado
8000089,2,2,2,2022-01-17,2025-02-26,Baixado
8000090,1,1,2,2023-04-18,2024-07-29,Baixado
8000091,3,1,3,2025-01-31,2025-01-16,Baixado
8000092,3,1,4,2019-03-22,,Em andamento
8000093,3,5,4,2019-01-25,,Em andamento
8000094,3,1,4,2025-01-13,2028-03-06,Baixado
8000095,2,6,4,2021-06-17,2024-04-06,Baixado
8000096,3,1,4,2020-11-07,,Em andamento
8000097,6,7,5,2019-04-21,,Em andamento
8000098,1,3,1,2023-10-22,2026-06-23,Baixado
8000099,2,1,4,2022-09-02,2024-08-01,Baixado
8000100,3,1,3,2023-09-23,2024-04-07,Baixado
8000101,5,2,1,2022-12-04,2023-05-23,Baixado
8000102,1,6,1,2021-10-09,2021-12-19,Baixado
8000103,2,4,2,2024-04-23,2027-07-22,Baixado
8000104,4,8,3,2023-02-19,2026-08-15,Baixado
8000105,1,8,2,2022-06-28,2022-09-18,Baixado
8000106,6,7,4,2023-06-13,,Em andamento
8000107,6,1,2,2020-02-22,2021-11-30,Baixado
8000108,6,6,1,2019-06-18,2021-12-11,Baixado
8000109,1,4,5,2022-10-29,2025-04-06,Baixado
8000110,1,6,4,2023-01-23,2025-09-20,Baixado
8000111,3,5,2,2024-11-07,,Em andamento
8000112,5,1,4,2024-03-19,2027-08-14,Baixado
8000113,2,1,1,2022-02-16,,Em andamento
8000114,4,1,5,2023-04-02,2026-02-07,Baixado
8000115,1,6,4,2021-05-18,2022-11-28,Baixado
8000116,6,1,3,2025-03-26,2026-05-21,Baixado
8000117,3,1,4,2025-03-24,,Em andamento
8000118,4,4,4,2019-03-12,2020-07-07,Baixado
8000119,2,2,3,2023-02-20,2026-03-13,Baixado
8000120,5,1,3,2022-12-12,2024-07-18,Baixado
8000013,3,1,3,2025-03-31,2027-02-23,Baixado
8000031,4,4,5,2024-01-24,2025-05-28,Baixado
